reaction,direction,reaction_def
R00127,reverse,2C00008 => C00002 + C00020
R00128,forward,C03483 + C00001 => C00002 + C00009
R00129_v1,forward,C00002 + C04856 + Z00029 => C00008 + C00009 + C00004 + Z00029
R00129_v1,reverse,C00008 + C00009 + C00004 + Z00029 => C00002 + C04856 + Z00029
R00130,forward,C00002 + C00882 => C00008 + C00010
R00130,reverse,C00008 + C00010 => C00002 + C00882
R00131_v1,forward,C00086 + C00001 + Z00034 => 2C00014 + C00011 + Z00034
R00132_v1,reverse,C00011 + C00001 + Z00006 => C01353 + Z00006
R00132_v2,reverse,C00011 + C00001 + Z00054 => C01353 + Z00054
R00134_v1,forward,C00058 + C00006 + Z00042 + Z00015 + Z00059 => C00011 + C00005 + C00080 + Z00042 + Z00015 + Z00059
R00134_v1,reverse,C00011 + C00005 + C00080 + Z00042 + Z00015 + Z00059 => C00058 + C00006 + Z00042 + Z00015 + Z00059
R00135_v1,reverse,C00148 + C00012 + Z00030 => C00012 + C00001 + Z00030
R00137_v1,forward,C00002 + C00455 + Z00029 + C00002 + C00455 + Z00034 => C00013 + C00003 + Z00029 + C00013 + C00003 + Z00034
R00137_v1,reverse,C00013 + C00003 + Z00029 + C00013 + C00003 + Z00034 => C00002 + C00455 + Z00029 + C00002 + C00455 + Z00034
R00137_v2,forward,C00002 + C00455 + Z00006 => C00013 + C00003 + Z00006
R00137_v2,reverse,C00013 + C00003 + Z00006 => C00002 + C00455 + Z00006
R00137_v3,forward,C00002 + C00455 + Z00029 => C00013 + C00003 + Z00029
R00137_v3,reverse,C00013 + C00003 + Z00029 => C00002 + C00455 + Z00029
R00137_v4,forward,C00002 + C00455 + Z00069 => C00013 + C00003 + Z00069
R00137_v4,reverse,C00013 + C00003 + Z00069 => C00002 + C00455 + Z00069
R00138,forward,C00536 + C00001 => C00013 + C00009
R00139_v1,forward,C11038 + C00002 + Z00029 => C11039 + C00008 + Z00029
R00139_v1,reverse,C11039 + C00008 + Z00029 => C11038 + C00002 + Z00029
R00140,forward,C11038 + C00008 => C03997 + C00002
R00140,reverse,C03997 + C00002 => C11038 + C00008
R00141,forward,C00002 + C00014 => C00008 + C02306
R00141,reverse,C00008 + C02306 => C00002 + C00014
R00143_v1,forward,C00014 + C00003 + C00001 + Z00063 + Z00019 + Z00013 => C00192 + C00004 + C00080 + Z00063 + Z00019 + Z00013
R00145_v1,reverse,C00161 + C00014 + C00004 + C00080 + Z00029 + C00161 + C00014 + C00004 + C00080 + Z00035 + C00161 + C00014 + C00004 + C00080 + Z00055 => C05167 + C00001 + C00003 + Z00029 + C05167 + C00001 + C00003 + Z00035 + C05167 + C00001 + C00003 + Z00055
