Supplementary Dataset 1 - Spreadsheet F - Features of reaction sets pre and post ammonia for 144 expansion simulations - Data for generating Extended Data Fig.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Redox Potential,pH,"Seed (0=CO2, 1=Formate/Acetate)","Thioester (0=No RSH, 1=RSH)",T,CoenzymeStoich,PPE reaction proportion (pre-ammonia),PPE reaction proportion (post-ammonia),Nitrogen-containg coenzymes (pre-ammonia),Nitrogen-containg coenzymes (post-ammonia),Active Site Nitrogen (pre-ammonia),Active Site Nitrogen (post-ammonia),Whole enzyme nitrogen (pre-ammonia),Whole enzyme nitrogen (post-ammonia)
-400,5,0,1,150,2,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
-200,5,0,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
0,5,0,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
200,5,0,1,150,2,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
-600,5,1,1,50,2,0.146835443037975,0.105263157894737,0.0860759493670886,0.394736842105263,0.361328125,0.462116040955631,0.203515934523275,0.203318509748016
-400,5,1,1,50,2,0.149038461538462,0.112,0.0913461538461538,0.368,0.364640883977901,0.465116279069767,0.203965616902219,0.203284282898099
-200,5,1,1,50,2,0.146853146853147,0.109848484848485,0.0932400932400932,0.348484848484849,0.363719234275296,0.466154919748779,0.203929394379376,0.203285183466686
0,5,1,1,50,2,0.147540983606557,0.109433962264151,0.0936768149882904,0.350943396226415,0.363719234275296,0.466154919748779,0.203935852938574,0.203284882467028
200,5,1,1,50,2,0.14321608040201,0.126829268292683,0.100502512562814,0.409756097560976,0.360881542699725,0.470541401273885,0.20393038033593,0.203385412312321
400,5,1,1,50,2,0.175862068965517,0.158620689655172,0.113793103448276,0.455172413793103,0.360266159695817,0.471807628524046,0.205293149154606,0.203723239629585
600,5,1,1,50,2,0.170634920634921,0.164285714285714,0.119047619047619,0.464285714285714,0.363636363636364,0.471807628524046,0.205055011589129,0.203695994861334
-600,5,1,1,150,2,0.129326047358834,0.116363636363636,0.0746812386156648,0.349090909090909,0.358827734095783,0.46513249651325,0.206475649714142,0.202983821783322
-400,5,1,1,150,2,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
-200,5,1,1,150,2,0.128113879003559,0.114695340501792,0.0765124555160142,0.347670250896057,0.358156028368794,0.46513249651325,0.206419309062737,0.20295413207531
