,rn,Fold
1479,R05039,10
1480,R07329,10
1481,R07993,10
1482,R07996,10
1483,R07997,10
1484,R04073,10
1485,R04073,109
1486,R05722,10
1487,R10056,10
1488,R09510,10
1489,R09511,10
1490,R05632,2003
1491,R05632,244
1492,R06915,2003
1493,R06915,244
1494,R06936,2003
1495,R06936,244
1496,R06939,2003
1497,R06939,244
1498,R00818,2003
1499,R00818,244
1500,R01298,244
1501,R02698,4033
1502,R02698,4052
1503,R02698,633
1504,R03299,4033
1505,R03299,4052
1506,R03299,633
1507,R05705,1
1508,R09662,1
1509,R09748,1
1510,R09750,1
1511,R04523,2003
1512,R08266,2003
1513,R03344,2003
1514,R01960,244
1515,R08815,149
1516,R02253,149
1517,R04806,149
1518,R08505,149
1519,R08758,149
1520,R08759,149
1521,R08760,149
1522,R11142,149
1523,R04807,149
1524,R03507,149
1525,R08761,149
1526,R07372,149
1527,R08961,149
1528,R01463,149
1529,R03697,149
1530,R05259,149
1531,R07000,149
1532,R07001,149
1533,R07021,149
1534,R07022,149
1535,R07042,149
1536,R07043,149
1537,R07044,149
1538,R07045,149
1539,R07046,149
1540,R07048,149
1541,R07050,149
1542,R07051,149
1543,R07052,149
1544,R07054,149
1545,R07055,149
1546,R07056,149
1547,R07079,149
1548,R07080,149
1549,R07081,149
1550,R07085,149
1551,R07087,149
1552,R07098,149
1553,R07099,149
1554,R07939,149
1555,R07943,149
1556,R07945,149
1557,R08265,149
1558,R08267,149
1559,R08270,149
1560,R08286,149
